time_aest,location,bed_elevation_m,tuflow_water_level_m,schism_water_level_m,reference_surface_m,surface_target_z_m,mid_depth_target_z_m,near_bottom_target_z_m
2011-05-01 07:00:00,Middle,-4.7865343094,0.0422935486,0.0571973536,0.0497454511,-0.4502545489,-2.3683944291,-4.2865343094
2011-05-01 08:00:00,Middle,-4.7865343094,0.1003718376,0.1165476987,0.1084597682,-0.3915402318,-2.3390372706,-4.2865343094
2011-05-01 09:00:00,Middle,-4.7865343094,0.1420183182,0.1628516574,0.1524349878,-0.3475650122,-2.3170496608,-4.2865343094
2011-05-01 10:00:00,Middle,-4.7865343094,0.1512150764,0.1797419563,0.1654785164,-0.3345214836,-2.3105278965,-4.2865343094
2011-05-01 11:00:00,Middle,-4.7865343094,0.1415977478,0.1729675871,0.1572826674,-0.3427173326,-2.3146258210,-4.2865343094
2011-05-01 12:00:00,Middle,-4.7865343094,0.0956821442,0.1350526514,0.1153673978,-0.3846326022,-2.3355834558,-4.2865343094
2011-05-01 13:00:00,Middle,-4.7865343094,0.0314955711,0.0777688636,0.0546322174,-0.4453677826,-2.3659510460,-4.2865343094
2011-05-01 14:00:00,Middle,-4.7865343094,-0.0170021057,0.0245283033,0.0037630988,-0.4962369012,-2.3913856053,-4.2865343094
2011-05-01 15:00:00,Middle,-4.7865343094,-0.0582175255,-0.0174996029,-0.0378585642,-0.5378585642,-2.4121964368,-4.2865343094
2011-05-01 16:00:00,Middle,-4.7865343094,-0.0710301399,-0.0367090556,-0.0538695978,-0.5538695978,-2.4202019536,-4.2865343094
2011-05-01 17:00:00,Middle,-4.7865343094,-0.0589766502,-0.0283119768,-0.0436443135,-0.5436443135,-2.4150893115,-4.2865343094
2011-05-01 18:00:00,Middle,-4.7865343094,-0.0146374702,0.0130621739,-0.0007876482,-0.5007876482,-2.3936609788,-4.2865343094
2011-05-01 19:00:00,Middle,-4.7865343094,0.0515232086,0.0742555320,0.0628893703,-0.4371106297,-2.3618224695,-4.2865343094
2011-05-01 20:00:00,Middle,-4.7865343094,0.1061081886,0.1313076599,0.1187079243,-0.3812920757,-2.3339131926,-4.2865343094
2011-05-01 21:00:00,Middle,-4.7865343094,0.1597676277,0.1829627121,0.1713651699,-0.3286348301,-2.3075845697,-4.2865343094
2011-05-01 22:00:00,Middle,-4.7865343094,0.1788783073,0.2097357301,0.1943070187,-0.3056929813,-2.2961136453,-4.2865343094
2011-05-01 23:00:00,Middle,-4.7865343094,0.1613373756,0.1976867899,0.1795120828,-0.3204879172,-2.3035111133,-4.2865343094
2011-05-02 00:00:00,Middle,-4.7865343094,0.1113281250,0.1543877514,0.1328579382,-0.3671420618,-2.3268381856,-4.2865343094
2011-05-02 01:00:00,Middle,-4.7865343094,0.0432567596,0.0918647673,0.0675607635,-0.4324392365,-2.3594867730,-4.2865343094
2011-05-02 02:00:00,Middle,-4.7865343094,-0.0203576088,0.0275847647,0.0036135780,-0.4963864220,-2.3914603657,-4.2865343094
2011-05-02 03:00:00,Middle,-4.7865343094,-0.0681738853,-0.0249946010,-0.0465842432,-0.5465842432,-2.4165592763,-4.2865343094
2011-05-02 04:00:00,Middle,-4.7865343094,-0.1017580032,-0.0619145999,-0.0818363016,-0.5818363016,-2.4341853055,-4.2865343094
2011-05-02 05:00:00,Middle,-4.7865343094,-0.1017670631,-0.0698091664,-0.0857881148,-0.5857881148,-2.4361612121,-4.2865343094
2011-05-02 06:00:00,Middle,-4.7865343094,-0.0731191635,-0.0439461109,-0.0585326372,-0.5585326372,-2.4225334733,-4.2865343094
2011-05-02 07:00:00,Middle,-4.7865343094,-0.0140357018,0.0108344409,-0.0016006304,-0.5016006304,-2.3940674699,-4.2865343094
2011-05-02 08:00:00,Middle,-4.7865343094,0.0574693680,0.0780086803,0.0677390241,-0.4322609759,-2.3593976426,-4.2865343094
2011-05-02 09:00:00,Middle,-4.7865343094,0.1174230576,0.1400527695,0.1287379135,-0.3712620865,-2.3288981979,-4.2865343094
2011-05-02 10:00:00,Middle,-4.7865343094,0.1585025787,0.1846647717,0.1715836752,-0.3284163248,-2.3074753171,-4.2865343094
2011-05-02 11:00:00,Middle,-4.7865343094,0.1696271896,0.2011084240,0.1853678068,-0.3146321932,-2.3005832513,-4.2865343094
2011-05-02 12:00:00,Middle,-4.7865343094,0.1501178741,0.1864126351,0.1682652546,-0.3317347454,-2.3091345274,-4.2865343094
2011-05-02 13:00:00,Middle,-4.7865343094,0.1022648811,0.1450031249,0.1236340030,-0.3763659970,-2.3314501532,-4.2865343094
2011-05-02 14:00:00,Middle,-4.7865343094,0.0406303406,0.0882430810,0.0644367108,-0.4355632892,-2.3610487993,-4.2865343094
2011-05-02 15:00:00,Middle,-4.7865343094,-0.0099911690,0.0345040518,0.0122564414,-0.4877435586,-2.3871389340,-4.2865343094
2011-05-02 16:00:00,Middle,-4.7865343094,-0.0410466194,-0.0018015036,-0.0214240615,-0.5214240615,-2.4039791854,-4.2865343094
2011-05-02 17:00:00,Middle,-4.7865343094,-0.0600447655,-0.0232851237,-0.0416649446,-0.5416649446,-2.4140996270,-4.2865343094
2011-05-02 18:00:00,Middle,-4.7865343094,-0.0453343391,-0.0135370636,-0.0294357014,-0.5294357014,-2.4079850054,-4.2865343094
2011-05-02 19:00:00,Middle,-4.7865343094,0.0083847046,0.0339181535,0.0211514291,-0.4788485709,-2.3826914402,-4.2865343094
2011-05-02 20:00:00,Middle,-4.7865343094,0.0661892891,0.0924863329,0.0793378110,-0.4206621890,-2.3535982492,-4.2865343094
2011-05-02 21:00:00,Middle,-4.7865343094,0.1278734207,0.1503342716,0.1391038462,-0.3608961538,-2.3237152316,-4.2865343094
2011-05-02 22:00:00,Middle,-4.7865343094,0.1683411598,0.1958594286,0.1821002942,-0.3178997058,-2.3022170076,-4.2865343094
2011-05-02 23:00:00,Middle,-4.7865343094,0.1789216995,0.2114750165,0.1951983580,-0.3048016420,-2.2956679757,-4.2865343094
2011-05-03 00:00:00,Middle,-4.7865343094,0.1512913704,0.1895148676,0.1704031190,-0.3295968810,-2.3080655952,-4.2865343094
